episodes,total reward
4,401.965674873
4,445.387465527
4,491.402694178
4,540.027858628
4,591.275262586
4,645.153165685
4,701.665859317
4,760.813828551
4,822.593706728
4,886.998366595
4,954.017038879
4,1023.63540078
4,1095.83560715
4,1170.59640669
4,1247.89317868
4,1327.69791629
4,1409.97923346
4,1494.70237529
4,1581.82926378
4,1671.31849525
4,1763.12533224
4,1857.20172256
4,1953.49630285
4,2051.95445818
4,2152.51838105
4,2255.12714209
4,2359.71670444
4,2466.21994338
4,2574.56669591
4,2684.68382203
4,2796.49529219
4,2909.92227095
4,3024.88320433
4,3141.29390437
4,3259.06767754
4,3378.11543764
4,2003418.0654
4,5003418.0654
4,8003418.0654
4,11003418.0654
4,14003418.0654
4,17003418.0654
4,20003418.0654
4,23003418.0654
4,26003418.0654
4,29003418.0654
4,32003418.0654
4,35003418.0654
4,38003418.0654
4,41003418.0654
4,44003418.0654
4,47003418.0654
4,50003418.0654
4,53003418.0654
4,56003418.0654
4,59003418.0654
4,62003418.0654
4,65003418.0654
4,68003418.0654
5,0.0406252520587
5,0.263900176631
5,0.825586135642
5,1.87988882016
5,3.57867468593
5,6.07076398859
5,9.50132792275
5,14.0112446873
5,19.7365566579
5,26.8080475065
5,35.3509133236
5,45.4846033481
5,57.3225683496
5,70.9721215777
5,86.5344504733
5,104.104602567
5,123.77156554
5,145.618483877
5,169.722728216
5,196.156067594
5,224.984990645
5,256.270919433
5,290.070511016
5,326.435837029
5,365.414721373
5,407.051070642
5,451.385091119
5,498.453601203
5,548.290300195
5,600.925961615
5,656.388620287
5,714.703772098
5,775.894467246
5,839.98149474
5,906.983659932
5,976.918026698
5,1049.79999698
5,1125.64339009
5,1204.46060735
5,1286.26276335
5,1371.05977029
5,1458.86048667
5,1549.67273606
5,1643.50334999
5,1740.35841215
5,1840.24333081
5,1943.16287843
5,2049.12103714
5,2158.12111611
5,2270.1658538
5,2385.25737166
5,2503.3971982
5,3002503.3972
5,6002503.3972
5,9002503.3972
5,12002503.3972
5,15002503.3972
5,18002503.3972
5,21002503.3972
5,24002503.3972
5,27002503.3972
5,30002503.3972
5,33002503.3972
5,36002503.3972
5,39002503.3972
5,42002503.3972
5,45002503.3972
5,48002503.3972
5,51002503.3972
5,54002503.3972
5,57002503.3972
5,60002503.3972
5,63002503.3972
5,66002503.3972
5,69002503.3972
5,72002503.3972
5,75002503.3972
5,78002503.3972
5,81002503.3972
5,84002503.3972
5,87002503.3972
5,90002503.3972
5,93002503.3972
5,96002503.3972
6,0.0406814253048
6,0.264284769848
6,0.826823123627
6,1.88266811304
6,3.58384564773
6,6.07938336476
6,9.51460924769
6,14.0305562673
6,19.7634622385
6,26.8444027814
6,35.3988232482
6,45.5461977414
6,57.3998495108
6,71.0668206231
6,86.6478904979
6,104.237731449
6,123.92489602
6,145.791930313
6,169.915673049
6,196.367373164
6,225.212853921
6,256.512726799
6,290.322492779
6,326.692852251
6,365.669992985
6,407.295824613
6,451.608253449
6,498.641518663
6,548.426291535
6,600.989829286
6,656.356335105
6,714.546968933
6,775.579934173
6,839.470685221
6,906.232033405
6,975.874241587
6,1048.40509155
6,1123.82992873
6,1202.15161063
6,1283.37052785
6,1367.48464728
6,1454.48938165
6,1544.37756096
6,1637.13940338
6,1732.76259313
6,1831.23219121
6,1932.53051764
6,2036.63703394
6,2143.52829676
6,2253.17785823
6,2365.55626257
6,2480.63097863
6,2598.36632625
6,2002638.19608
6,5002638.19608
6,8002638.19608
6,11002638.1961
6,14002638.1961
6,17002638.1961
6,20002638.1961
6,23002638.1961
6,26002638.1961
6,29002638.1961
6,32002638.1961
6,35002638.1961
6,38002638.1961
6,41002638.1961
6,44002638.1961
6,47002638.1961
6,50002638.1961
6,53002638.1961
6,56002638.1961
6,59002638.1961
6,62002638.1961
6,65002638.1961
6,68002638.1961
6,71002638.1961
6,74002638.1961
6,77002638.1961
6,80002638.1961
6,83002638.1961
6,86002638.1961
6,89002638.1961
6,92002638.1961
7,0.0406916866316
7,0.264321342813
7,0.826862946017
7,1.88274886596
7,3.58415313775
7,6.08019384463
7,9.51630311866
7,14.0336383078
7,19.7684875594
7,26.851793048
7,35.4088225622
7,45.5589981792
7,57.415734716
7,71.0863477848
7,86.6719708908
7,104.267615524
7,123.962224929
7,145.838927055
7,169.975190709
7,196.442912057
7,225.30856751
7,256.63357093
7,290.47449925
7,326.883416034
7,365.908121774
7,407.592498305
7,451.976773226
7,499.097805971
7,548.989292343
7,601.681996574
7,657.204024396
7,715.581007415
7,776.836316238
7,840.991213476
7,908.064916845
7,978.07475619
7,1051.03647877
7,1126.96440545
7,1205.87143112
7,1287.76915241
7,1372.66797015
7,1460.57711968
7,1551.50480339
7,1645.45824585
7,1742.44364343
7,1842.46620364
7,1945.53022575
7,2051.63913194
7,2160.79552408
7,2273.0012343
7,2388.25740683
7,2506.56442895
7,3002506.56443
7,6002506.56443
7,9002506.56443
7,12002506.5644
7,15002506.5644
7,18002506.5644
7,21002506.5644
7,24002506.5644
7,27002506.5644
7,30002506.5644
7,33002506.5644
7,36002506.5644
7,39002506.5644
7,42002506.5644
7,45002506.5644
7,48002506.5644
7,51002506.5644
7,54002506.5644
7,57002506.5644
7,60002506.5644
7,63002506.5644
7,66002506.5644
7,69002506.5644
7,72002506.5644
7,75002506.5644
7,78002506.5644
7,81002506.5644
7,84002506.5644
7,87002506.5644
7,90002506.5644
7,93002506.5644
7,96002506.5644
8,0.0407192638562
8,0.264509412028
8,0.827479904656
8,1.88417331271
8,3.58684370577
8,6.08473527455
8,9.52330251919
8,14.0435811341
8,19.7817789269
8,26.868855796
8,35.430183477
8,45.5852326969
8,57.4473391445
8,71.1236548724
8,86.7149846732
8,104.315658926
8,124.013740195
8,145.891246945
8,170.024239047
8,196.483012805
8,225.332377874
8,256.631876914
8,290.436065938
8,326.794825796
8,365.753598585
8,407.353595874
8,451.632058455
8,498.622549518
8,548.355216045
8,600.857022408
8,656.151918296
8,714.261048618
8,775.202860978
8,838.993360435
8,905.646333276
8,975.173533256
8,1047.58484572
8,1122.88827632
8,1201.09007876
8,1282.19487061
8,1366.20579687
8,1453.12461969
8,1542.95183279
8,1635.68677284
8,1731.32761057
8,1829.87140803
8,1931.31408232
8,2035.65053819
8,2142.87473411
8,2252.97972681
8,2365.9576543
8,2481.79971758
8,2600.49625619
8,3002600.49626
8,6002600.49626
8,9002600.49626
8,12002600.4963
8,15002600.4963
8,18002600.4963
8,21002600.4963
8,24002600.4963
8,27002600.4963
8,30002600.4963
8,33002600.4963
8,36002600.4963
8,39002600.4963
8,42002600.4963
8,45002600.4963
8,48002600.4963
8,51002600.4963
8,54002600.4963
8,57002600.4963
8,60002600.4963
8,63002600.4963
8,66002600.4963
8,69002600.4963
8,72002600.4963
8,75002600.4963
8,78002600.4963
8,81002600.4963
8,84002600.4963
8,87002600.4963
8,90002600.4963
8,93002600.4963
9,0.040707298182
9,0.264401813708
9,0.827007989002
9,1.88280227533
9,3.58379802818
9,6.07899878724
9,9.51365888232
9,14.0287148225
9,19.7602926179
9,26.8393132189
9,35.3910584065
9,45.5349196625
9,57.384272788
9,71.0464433718
9,86.6226302388
9,104.207835619
9,123.891017501
9,145.755245828
9,169.87782493
9,196.330528627
9,225.179833221
9,256.48711079
9,290.3090434
9,326.697839819
9,365.701439104
9,407.363674792
9,451.724661149
9,498.821159794
9,548.686831938
9,601.352428011
9,656.845931147
9,715.192900798
9,776.416632666
9,840.538265392
9,907.576942446
9,977.550036716
9,1050.47340809
9,1126.36151911
9,1205.2275225
9,1287.08334839
9,1371.93976348
9,1459.80646656
9,1550.69222445
9,1644.6049036
9,1741.55155987
9,1841.53868923
9,1944.57224908
9,2050.65760995
9,2159.79953125
9,2272.00218675
9,2387.2693228
9,2505.6043146
9,3002505.60431
9,6002505.60431
9,9002505.60431
9,12002505.6043
9,15002505.6043
9,18002505.6043
9,21002505.6043
9,24002505.6043
9,27002505.6043
9,30002505.6043
9,33002505.6043
9,36002505.6043
9,39002505.6043
9,42002505.6043
9,45002505.6043
9,48002505.6043
9,51002505.6043
9,54002505.6043
9,57002505.6043
9,60002505.6043
9,63002505.6043
9,66002505.6043
9,69002505.6043
9,72002505.6043
9,75002505.6043
9,78002505.6043
9,81002505.6043
9,84002505.6043
9,87002505.6043
9,90002505.6043
9,93002505.6043
9,96002505.6043
10,0.0407001751289
